AAPL,META,JPM,JNJ,XOM,AMZN,PG,NEE,CAT,NVDA,SP500
0.02753827850428433,0.026011606247679894,0.010337447430863698,0.010170768487518455,0.012201446461437952,0.023990708370500193,0.01219310973065081,0.012420653714586045,0.02645680206882551,0.04241487233868251,0.010261683022355986
0.018634884579303637,0.02529697010820843,0.011171529361325325,0.009896066455694526,0.01197436130882326,0.0235278642158507,0.01206295330099592,0.012422717126640876,0.025649670476113353,0.040565849756254574,0.008876049837428712
0.017381528015794172,0.024230192267682207,0.009264477517773699,0.009632633353445351,0.010387944939073903,0.021923670710235686,0.011850528341265619,0.01210749096523995,0.023927541958115348,0.03924023960555899,0.006905323404368827
0.01733110714772468,0.02422453680302754,0.009283622521273916,0.00951191080629544,0.010383433748365895,0.02104511448499547,0.011926281780653915,0.01208729534179207,0.024564127815421208,0.038262233795134305,0.006869977860951059
0.0172405569676345,0.023986312196419165,0.00928622983305717,0.008817784696321763,0.010605092807152964,0.020810144655804285,0.011932377239360427,0.012062769831701688,0.024626257242723923,0.03809293385701098,0.006847532327071903
0.017128783812690593,0.023982227907331493,0.00933368721405847,0.008733503991253265,0.010632511855836024,0.020859997531479452,0.011366075544534164,0.012040993631589133,0.024635028049707255,0.038127346546846255,0.006878772393852495
0.01713690581474925,0.024082434222886754,0.009468467834879311,0.008705878805702564,0.010528919071306904,0.020859967106297117,0.011520298196901861,0.011841927126240439,0.024611621170659587,0.03804299180278754,0.0068730526895723655
0.016944212413192185,0.024084556305827072,0.00955199653195503,0.008713583033585864,0.010428305756302596,0.020794155668712913,0.011503143482851655,0.011841877351093566,0.02505035030364379,0.03789141718536533,0.006882503110301161
0.01653147349568699,0.024156242685637257,0.0094286582736281,0.008381230309971226,0.010460800246578143,0.020624102414801275,0.011584940628767767,0.01061135509854477,0.025102208386420473,0.037920292370298175,0.006752621724648441
0.01650416190325369,0.023937981285376986,0.009498480428621177,0.008325658912905862,0.010585445345933314,0.019576535735212418,0.011580924729879814,0.010119694269749901,0.025253580136900305,0.037934804544062915,0.006645701591679541
0.016479215017475044,0.023829726961138734,0.009401590754609503,0.008199375268818653,0.010669510154774107,0.019885837667850827,0.011463401891201472,0.010126372011101807,0.025232352925256697,0.037977784596689615,0.006701343302146259
0.01647678035285734,0.024360573945406413,0.00939270708406179,0.008142284355335625,0.010656693485236507,0.020042162733471203,0.011453723342904931,0.010121066908444611,0.02496802666339982,0.03783465609974471,0.0067178347599443165
0.016507954998816556,0.024569411516941576,0.00891393437147045,0.007931016734027713,0.010593781385468647,0.020043639755112107,0.011403861000881945,0.010127082754896181,0.024724467116013903,0.03733042551507609,0.00639661501649201
0.015843163882025894,0.024250033950732497,0.008437032879949048,0.007270235592351318,0.010384605890452111,0.018890569265407615,0.011150778469842745,0.010150811027932803,0.024177483215781018,0.03638116883534103,0.005877294899770142
0.016114035256962176,0.024151652761426657,0.00853436814850971,0.0074353982197377134,0.010219941867239228,0.0194946052753825,0.007388821326133244,0.010003370806444263,0.024341469487396544,0.036545797216070264,0.0061456526049981555
0.015960626408423825,0.024135021671140674,0.008534055451380864,0.006806747839544903,0.010768528668283936,0.019420310866749415,0.007289759655992255,0.009994564962945632,0.02439198864175084,0.035059544148047864,0.006178742334892707
0.01605165002155226,0.024001517057106268,0.008782273190419026,0.006700092643270666,0.010822849866537738,0.020154468061214393,0.007329821220636898,0.007319919572127456,0.02383149986340603,0.03715894603771003,0.006515716224336347
0.015886402703993493,0.0238563553448597,0.008761178185239913,0.006682163079802182,0.010638552308091754,0.019806558297610723,0.0073237905489113775,0.00693066149056913,0.01578679571349222,0.02426744096170242,0.006276660618169428
0.015618008968830437,0.023283490628498722,0.008767942236013657,0.006528809570881058,0.010671122537742748,0.019158668216288918,0.007492462171488425,0.00695108662339871,0.015566306944626861,0.02275127276896527,0.006312605711330944
0.010719553618671494,0.02267019556025,0.00891285162552357,0.006751467843139299,0.010690227775652044,0.01718526920913361,0.007348126596299093,0.006978706971431323,0.01476464175304421,0.022272108041413167,0.0058060884580809526
0.010835033174058017,0.013751766619541153,0.00896746400941272,0.006582172206051787,0.010614835351454029,0.01660005535774958,0.006722118503614834,0.00473319935243268,0.01422442146111402,0.021347488572775016,0.005692490337737587
0.010874667673463782,0.015034896019470115,0.009001534036953298,0.006492100546624452,0.008884631570726645,0.013223226283260453,0.006829063107339151,0.0045039363564666965,0.01398687163314225,0.02143421113128509,0.00570644940970166
0.010114134990392732,0.014524401608799016,0.009028258268882958,0.006327425208799623,0.008338997673892972,0.013319756082403133,0.00679589886590574,0.005278415035873386,0.013985772366978282,0.021853582873612585,0.0056266659491217156
0.009828968228181903,0.015069388512474151,0.009874602705072698,0.0065778754668183274,0.008241213972857693,0.013491143521968072,0.006680919515407441,0.005349051769805754,0.014008665979500701,0.021981714411208223,0.0056402549991800485
0.01155538938106315,0.015086702167392805,0.010305621690156795,0.006629908093864072,0.008143973213289775,0.013334399204200523,0.006745047401482189,0.005533036813802116,0.013905471328331651,0.023541072958249726,0.005876457763905393
0.011683402909103783,0.014543551729683756,0.011489425207342452,0.006701873039401846,0.00865973642696092,0.014289004270551992,0.0067516118213023215,0.004947255116521978,0.014974314856711832,0.023446464604495423,0.006709709216737617
0.012037223197398812,0.014673973346670362,0.011447808301610385,0.006729650001072488,0.008842768230867253,0.013819833003076785,0.006708001824884965,0.004837114347577111,0.015130986895497394,0.023974890947384316,0.006719067739264194
0.01218714917816304,0.014651417024173807,0.011587316871841865,0.0070796923912203125,0.009039554637474462,0.013817971919328226,0.00686163698925382,0.004905915370951388,0.015135874180575838,0.023853944488524854,0.0068088079677376505
0.012192974468557157,0.014769416220787288,0.011130563539012286,0.006537523032339437,0.00881493643532941,0.013184236595257005,0.0066883821745734795,0.005111786284855033,0.01421776516785706,0.023407297398525553,0.0065328654021718805
0.012118636344966027,0.014730995519069152,0.011309112398508103,0.0065356452804915515,0.008665242701706226,0.01318616125673919,0.006746391581739444,0.005545442027656081,0.014304184585245914,0.02337979129521013,0.006540487143288045
0.012131419954898984,0.014777844421510119,0.011305523047183717,0.00658807563681467,0.00866253789358661,0.012948227226068655,0.006537524761519065,0.005598474965849211,0.014912509671190986,0.023402108503239927,0.006595807414073282
0.012095019136304182,0.014809515748882762,0.011596855190974321,0.0061846346593915835,0.008270073546931265,0.013035812812826597,0.0066168414150922766,0.006281690527008323,0.015445658513893202,0.023351291290429236,0.006631696595006431
0.012246673565642614,0.01583041802543802,0.01161599492293059,0.0063631544253749854,0.008284219338957259,0.012964630972528814,0.00610480503650507,0.006296735784160948,0.015430482073187543,0.023284986187148186,0.006634004914693024
0.012249479573135692,0.015870036177048005,0.011586626896661904,0.006368151930421334,0.008372857762579783,0.012897329603489702,0.005909673742477383,0.006304914084287935,0.014280024115952002,0.023701748087749955,0.00663578004863068
0.012117262869217254,0.015648733973170625,0.011713950317577788,0.006618084687450774,0.008480924883130497,0.012888588976491054,0.005912605443994623,0.0063394925073250044,0.014198973136734867,0.023334209904182973,0.006581169143336643
0.01206065868508546,0.015592168587353699,0.011690885073459242,0.006477075790759151,0.008435387423987134,0.012922552651382807,0.005878613844075826,0.0063612778015759795,0.014197096878765041,0.023203312839242932,0.006541235401077841
0.01222581163733126,0.015416073362474168,0.011550115184640214,0.006442294114353002,0.00847355240626073,0.012919311715889599,0.006046100424857463,0.006526751127868998,0.013747201846659273,0.023140494578803593,0.006541265945353949
0.012283881873228446,0.015564548985524647,0.01154432643814493,0.0064866873801529635,0.008895395390797565,0.013092910476583577,0.006104303910272552,0.0065933464991753165,0.013782531946500485,0.0232262672300434,0.0066661755416009974
0.012282532528719707,0.01543570519051183,0.011568205644286882,0.0064794121712648456,0.00879476557898686,0.01309878712344631,0.005763295932293845,0.006687539434968713,0.01370569037358988,0.023048796942090204,0.0066746044661539754
